Feature,Linear_Coef,Linear_Coef_Norm,Attention_Score,Attention_Score_Norm
Open_VEDL,0.1144763367921483,0.06325155086307149,-12.588106751441956,1.0733272032504455
High_VEDL,0.1600781837043032,0.08844791563364651,-14.47462773323059,1.2341817566188094
Low_VEDL,0.0371774697987409,0.020541648063083822,-14.575823783874512,1.242810256214683
Close_VEDL,0.9810558414136488,0.5420622741043625,-16.100748777389526,1.3728332621181472
Adj Close_VEDL,0.0021303124457963674,0.0011770604283414237,-8.281704604625702,0.7061410438397353
Volume_VEDL,0.0035467836145348965,0.001959702506924117,-0.3364856541156769,0.028690510272683045
Open_NiftyMetal,0.07394088558862072,0.04085451907987652,2.7548294961452484,-0.23489103619102303
High_NiftyMetal,0.26160104910395154,0.14454229168142246,2.175061523914337,-0.18545701497909578
Low_NiftyMetal,0.010942612672595303,0.006046116092029116,1.772006779909134,-0.15109047919400848
Close_NiftyMetal,0.08225729837969434,0.04544958231646474,1.3579755872488022,-0.1157880345253012
Adj Close_NiftyMetal,0.08225729837969473,0.045449582316464954,1.3579755872488022,-0.1157880345253012
Volume_NiftyMetal,0.0003941091328433853,0.00021775691431239218,45.211531579494476,-3.8549694328997735
