Date,Open_VEDL,High_VEDL,Low_VEDL,Close_VEDL,Adj Close_VEDL,Volume_VEDL,Open_NiftyMetal,High_NiftyMetal,Low_NiftyMetal,Close_NiftyMetal,Adj Close_NiftyMetal,Volume_NiftyMetal,GDP_Growth_Rate,Inflation_Rate,News Sentiment
2019-01-01,202.5,202.8500061035156,200.3500061035156,202.1000061035156,88.26016235351562,3947501.0,3162.25,3164.050048828125,3122.39990234375,3135.25,3135.25,405100.0,5.8,2.0,-0.5927248797079192
2019-01-02,200.0,200.0,192.5,193.1499938964844,84.35153198242188,18935386.0,3095.550048828125,3097.10009765625,3021.64990234375,3028.449951171875,3028.449951171875,962800.0,5.8,2.0,-0.9999812890191606
2019-01-03,193.6999969482422,195.0,187.5500030517578,187.9499969482422,82.08064270019531,13968283.0,3030.89990234375,3031.14990234375,2956.199951171875,2960.39990234375,2960.39990234375,898900.0,5.8,2.0,-0.9999812890191606
2019-01-04,188.0,194.4499969482422,186.6499938964844,192.8999938964844,84.24237823486328,12883382.0,2959.25,3013.35009765625,2949.300048828125,3001.699951171875,3001.699951171875,899900.0,5.8,2.0,-0.9998449934792006
2019-01-05,188.0,194.4499969482422,186.6499938964844,192.8999938964844,84.24237823486328,12883382.0,2959.25,3013.35009765625,2949.300048828125,3001.699951171875,3001.699951171875,899900.0,5.8,2.0,-0.9979172396706416
2019-01-06,188.0,194.4499969482422,186.6499938964844,192.8999938964844,84.24237823486328,12883382.0,2959.25,3013.35009765625,2949.300048828125,3001.699951171875,3001.699951171875,899900.0,5.8,2.0,-0.9979172396706416
2019-01-07,196.1000061035156,198.6499938964844,192.5,193.4499969482422,84.48255157470703,11020289.0,3040.64990234375,3055.300048828125,2991.449951171875,2997.10009765625,2997.10009765625,660600.0,5.8,2.0,-0.1673318445682525
2019-01-08,194.5,197.0,191.8999938964844,195.6499938964844,85.44335174560547,14295380.0,3000.550048828125,3021.35009765625,2987.60009765625,3010.300048828125,3010.300048828125,714400.0,5.8,2.0,-0.017518579931675
2019-01-09,197.9499969482422,198.0,192.0,194.75,85.05029296875,11205333.0,3020.39990234375,3031.699951171875,2951.89990234375,2975.5,2975.5,902200.0,5.8,2.0,-0.017518579931675
2019-01-10,195.0,196.1999969482422,193.4499969482422,195.4499969482422,85.35601043701172,8256271.0,2979.699951171875,2990.050048828125,2961.14990234375,2972.35009765625,2972.35009765625,589400.0,5.8,2.0,-0.9998434573662962
2019-01-11,195.5,198.3000030517578,195.0,196.6000061035156,85.85822296142578,8245755.0,2980.300048828125,3003.5,2961.60009765625,2971.25,2971.25,608200.0,5.8,2.0,-2.7926291199520392e-06
2019-01-12,195.5,198.3000030517578,195.0,196.6000061035156,85.85822296142578,8245755.0,2980.300048828125,3003.5,2961.60009765625,2971.25,2971.25,608200.0,5.8,2.0,-0.9483326133340596
2019-01-13,195.5,198.3000030517578,195.0,196.6000061035156,85.85822296142578,8245755.0,2980.300048828125,3003.5,2961.60009765625,2971.25,2971.25,608200.0,5.8,2.0,-0.9483326133340596
2019-01-14,196.0,196.0,192.0,193.0500030517578,84.30789184570312,9059869.0,2969.699951171875,2969.75,2930.10009765625,2939.35009765625,2939.35009765625,564500.0,5.8,2.0,-0.9999623231460646
2019-01-15,193.8500061035156,199.8000030517578,193.3500061035156,198.8999938964844,86.86266326904297,9416350.0,2953.300048828125,2989.75,2937.0,2986.300048828125,2986.300048828125,646500.0,5.8,2.0,-0.9999623231460646
2019-01-16,201.0,202.25,195.6999969482422,196.3000030517578,85.72721099853516,12554389.0,2997.64990234375,3003.949951171875,2963.14990234375,2967.050048828125,2967.050048828125,615700.0,5.8,2.0,0.9999115715836524
2019-01-17,197.25,198.25,195.3999938964844,197.4499969482422,86.22944641113281,6591718.0,2974.89990234375,2981.64990234375,2948.10009765625,2963.050048828125,2963.050048828125,564600.0,5.8,2.0,-0.98532979429001
2019-01-18,199.0,200.0,196.25,198.6999969482422,86.77531433105469,8307081.0,2969.75,2980.300048828125,2940.75,2957.10009765625,2957.10009765625,497200.0,5.8,2.0,-0.98532979429001
2019-01-19,199.0,200.0,196.25,198.6999969482422,86.77531433105469,8307081.0,2969.75,2980.300048828125,2940.75,2957.10009765625,2957.10009765625,497200.0,5.8,2.0,-0.9997502337791956
2019-01-20,199.0,200.0,196.25,198.6999969482422,86.77531433105469,8307081.0,2969.75,2980.300048828125,2940.75,2957.10009765625,2957.10009765625,497200.0,5.8,2.0,-0.9997502337791956
2019-01-21,200.1000061035156,200.5,197.6499938964844,198.4499969482422,86.66615295410156,6348706.0,2967.199951171875,2975.39990234375,2938.75,2945.800048828125,2945.800048828125,436800.0,5.8,2.0,-0.9996376757044344
2019-01-22,197.5,197.5,191.0,191.5,83.63099670410156,9901151.0,2936.050048828125,2936.050048828125,2864.5,2880.64990234375,2880.64990234375,714300.0,5.8,2.0,-0.9712907262146472
