,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-01-01,202.5,202.85000610351562,200.35000610351562,202.10000610351562,88.26016235351562,3947501
1,2019-01-02,200.0,200.0,192.5,193.14999389648438,84.35153198242188,18935386
2,2019-01-03,193.6999969482422,195.0,187.5500030517578,187.9499969482422,82.08064270019531,13968283
3,2019-01-04,188.0,194.4499969482422,186.64999389648438,192.89999389648438,84.24237823486328,12883382
4,2019-01-07,196.10000610351562,198.64999389648438,192.5,193.4499969482422,84.48255157470703,11020289
5,2019-01-08,194.5,197.0,191.89999389648438,195.64999389648438,85.44335174560547,14295380
6,2019-01-09,197.9499969482422,198.0,192.0,194.75,85.05029296875,11205333
7,2019-01-10,195.0,196.1999969482422,193.4499969482422,195.4499969482422,85.35601043701172,8256271
8,2019-01-11,195.5,198.3000030517578,195.0,196.60000610351562,85.85822296142578,8245755
9,2019-01-14,196.0,196.0,192.0,193.0500030517578,84.30789184570312,9059869
10,2019-01-15,193.85000610351562,199.8000030517578,193.35000610351562,198.89999389648438,86.86266326904297,9416350
11,2019-01-16,201.0,202.25,195.6999969482422,196.3000030517578,85.72721099853516,12554389
12,2019-01-17,197.25,198.25,195.39999389648438,197.4499969482422,86.22944641113281,6591718
13,2019-01-18,199.0,200.0,196.25,198.6999969482422,86.77531433105469,8307081
14,2019-01-21,200.10000610351562,200.5,197.64999389648438,198.4499969482422,86.66615295410156,6348706
15,2019-01-22,197.5,197.5,191.0,191.5,83.63099670410156,9901151
16,2019-01-23,191.5,195.0,190.60000610351562,192.8000030517578,84.1987075805664,7523951
17,2019-01-24,192.89999389648438,195.4499969482422,191.3000030517578,193.5,84.5044174194336,6195845
18,2019-01-25,195.10000610351562,196.39999389648438,192.5500030517578,194.6999969482422,85.02845764160156,6437316
19,2019-01-28,195.0,195.0,191.0,191.5,83.63099670410156,6045200
20,2019-01-29,191.5,193.85000610351562,189.39999389648438,192.64999389648438,84.13319396972656,6230069
21,2019-01-30,192.89999389648438,196.4499969482422,192.14999389648438,194.10000610351562,84.76644897460938,10015876
22,2019-01-31,195.5,198.25,193.8000030517578,197.35000610351562,86.18577575683594,13404228
23,2019-02-01,179.64999389648438,180.0,158.14999389648438,162.14999389648438,70.8133773803711,98562137
